"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"d:\Uni Courses\Final Project\hapiBackEnd\app.js", "JavaScript", 0, 25, 1, 7, 33
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\Counts.js", "JavaScript", 0, 69, 4, 3, 76
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\Mastercourses.js", "JavaScript", 0, 17, 2, 2, 21
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\courseStudents.js", "JavaScript", 0, 17, 2, 2, 21
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\general.js", "JavaScript", 0, 12, 0, 1, 13
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\index.js", "JavaScript", 0, 14, 0, 1, 15
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\insertRequest.js", "JavaScript", 0, 17, 2, 3, 22
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\master.js", "JavaScript", 0, 17, 2, 2, 21
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\showRequests.js", "JavaScript", 0, 17, 0, 3, 20
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\student.js", "JavaScript", 0, 17, 2, 3, 22
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\studentCourses.js", "JavaScript", 0, 17, 2, 2, 21
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\studentSessions.js", "JavaScript", 0, 17, 2, 2, 21
"d:\Uni Courses\Final Project\hapiBackEnd\config\routes\updateAttendance.js", "JavaScript", 0, 30, 0, 3, 33
"d:\Uni Courses\Final Project\hapiBackEnd\package-lock.json", "JSON", 456, 0, 0, 1, 457
"d:\Uni Courses\Final Project\hapiBackEnd\package.json", "JSON", 24, 0, 0, 1, 25
"d:\Uni Courses\Final Project\hapiBackEnd\queries.js", "JavaScript", 0, 295, 0, 23, 318
"Total", "-", 480, 581, 19, 59, 1139
